Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
CH-81	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-81	FILES/CH-8101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-09	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-09	FILES/CH-0901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-33	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-33	FILES/CH-3301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-13	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-13	FILES/CH-1301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-20	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-20	FILES/CH-2001.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-29	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-29	FILES/CH-2901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-85	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-85	FILES/CH-8501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-28	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-28	FILES/CH-2801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-66	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-66	FILES/CH-6601.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-01	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-01	FILES/CH-0101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-12	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-12	FILES/CH-1201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-62	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-62	FILES/CH-6201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-84	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-84	FILES/CH-8401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-30-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-30-1	FILES/CH-30-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-16-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-16-1	FILES/CH-16-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-46	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-46	FILES/CH-4601.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-67	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-67	FILES/CH-6701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-49	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-49	FILES/CH-4901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-68	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-68	FILES/CH-6801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-103	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-103	FILES/CH-10301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-18	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-18	FILES/CH-1801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-98	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-98	FILES/CH-9801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-74	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-74	FILES/CH-7401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-08	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-08	FILES/CH-0801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-104	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-104	FILES/CH-10401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-76	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-76	FILES/CH-7601.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-04	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-04	FILES/CH-0401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-58	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-58	FILES/CH-5801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-53	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-53	FILES/CH-5301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-02	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-02	FILES/CH-0201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-61	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-61	FILES/CH-6101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-05	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-05	FILES/CH-0501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-77	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-77	FILES/CH-7701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-87	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-87	FILES/CH-8701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-94	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-94	FILES/CH-9401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-55	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-55	FILES/CH-5501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-91	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-91	FILES/CH-9101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-23	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-23	FILES/CH-2301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-57-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-57-1	FILES/CH-57-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-40	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-40	FILES/CH-4001.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-97	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-97	FILES/CH-9701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-88	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-88	FILES/CH-8801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-92	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-92	FILES/CH-9201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-89	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-89	FILES/CH-8901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-95-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-95-1	FILES/CH-95-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-54	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-54	FILES/CH-5401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				Blank	FILES/20190410_BLANK_0101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				Blank	FILES/20190410_BLANK_0102.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				Blank	FILES/20190410_BLANK_0103.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				Blank	FILES/20190410_BLANK_0104.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
